"商品ID","商品名","種類ID","種類名","説明","価格","税率","在庫数","公開状態","表示順","種類在庫数","画像1","画像2","画像3","画像4","画像5","画像6","画像7","画像8","画像9","画像10","画像11","画像12","画像13","画像14","画像15","画像16","画像17","画像18","画像19","画像20","商品重量"
"","【Brand A】Vertical 01 / 折りたたみリフォーマー","","","省スペース設計の折りたたみ式リフォーマー。カエデ（ブナ・オーク）材フレームを採用し、コンパクトに収納しながらも本格的なトレーニングが可能。限られたスペースのスタジオや自宅にも最適です。<br>材質: カエデ（ブナ・オーク）<br>サイズ: 開放時 2290×625×240mm<br>収納時: 673×487×1142mm<br>正味重量: 78kg<br>総重量: 100kg<br>標準スポンジ<br>黒のワイドホイール<br>グレーの滑り止めカバー<br>aタイプのストッパープレート<br>プラスチックのスプリングホルダー","466400","1","99","1","1","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand A】Vertical 02 / 折りたたみリフォーマー","","","V01の進化版。黒のワイドホイール、グレーの滑り止めカバー、aタイプのストッパープレートなど5つの標準装備を搭載。さらなる操作性と安定感を実現したモデルです。<br>材質: カエデ（ブナ・オーク）<br>サイズ: 開放時 2365×600×240mm<br>収納時: 694×712×1148mm<br>正味重量: 80kg<br>総重量: 100kg<br>標準スポンジ<br>黒のワイドホイール<br>グレーの滑り止めカバー<br>aタイプのストッパープレート<br>プラスチックのスプリングホルダー","475200","1","99","1","2","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand A】Reformer / フットレバー式リフォーマー","","","プロ仕様のフットレバー式。35mm無垢材フレーム、韓国製スプリング5本セット、アルミ合金レールで安定性と滑らかなキャリッジ走行を実現。本格スタジオに最適な高耐久モデル。<br>材質: カエデ（ブナ・オーク）35mm無垢材<br>サイズ: 2432×705×965mm<br>梱包: 2450×760×450mm<br>正味重量: 90kg<br>総重量: 125kg<br>35mm無垢材フレーム<br>韓国製スプリング×5本セット（赤28kg×1、緑15kg×2、黄8kg×2）<br>1mm厚マイクロファイバーレザー<br>高密度スポンジクッション<br>アルミ合金レール×2<br>ボックス×1<br>ヘッドレスト 3段階調整<br>ショルダー×2<br>アルミ合金フットバー×1<br>ロープ×2、静音タイヤ×2<br>ソフトペダル（二重ステッチレザー）×1<br>踏み板×1<br>滑車×10、移動輪×2<br>カウンターウエイト輪×4<br>フックベルト×1","550000","1","99","1","3","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand A】Half Tower / フットレバー式 ハーフタワー","","","ハイエンドフットレバー内蔵リフォーマーにタワーユニットを追加。垂直方向のエクササイズバリエーションが広がり、ハーフタワー用スプリング8本付属で多彩なプログラムが可能です。<br>材質: カエデ（ブナ・オーク）<br>サイズ: 2400×700×2030mm<br>梱包: 2450×760×450mm / 730×440×340mm<br>正味重量: 125kg<br>総重量: 150kg<br>ハーフタワー用スプリング8本（短緑20kg、短黄12kg、長緑16kg、長黄14kg 各2本）<br>固定プレート<br>ステンレスフランジ×2<br>フック付きタワーバー（木製）×1<br>U型フレーム×2<br>安全ロープ×1","730400","1","99","1","4","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand A】Cadillac / ハイエンド アルミフレーム","","","28mm無垢材フレーム、韓国製スプリング10本セット付属のフルフレームキャデラック。トラペーズ、プッシュスルーバー、スプリングなど多彩なアタッチメントで全身の統合的トレーニングに最適。<br>材質: カエデ（ブナ・オーク）28mm無垢材<br>サイズ: 2520×780×2050mm<br>梱包: 2390×780×800mm<br>正味重量: 95kg<br>総重量: 120kg<br>28mm無垢材フレーム<br>韓国製スプリング10本セット<br>1mm厚マイクロファイバーレザー<br>高密度スポンジクッション<br>ステンレス製横パイプ×2、アルミ合金縦パイプ×4<br>ブラッシュハンドル×2個（黒・白・グレー選択可）<br>ヘッドレスト（二重ステッチレザー製）×1<br>フットパッド（二重ステッチレザー製）×1<br>フック付きタワーバー（木製）×1<br>タワーフレーム（可動式フック付き×2）<br>U型フレーム（20mm厚アルミ合金製）×1<br>ハンドル（プラスチック製）×2<br>リングハンドル（手持ち用）×2<br>スイングバー（フック付き木製）×1<br>フットストラップ×1、セーフティロープ×1","730400","1","99","1","5","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand A】Chair / ピラティスチェア","","","コンパクトながら多彩なエクササイズが可能。韓国製スプリング4本、ステンレスハンドル装備。スプリット・ペダルシステムで上半身・下半身・体幹のバランストレーニングに対応します。<br>材質: カエデ（ブナ・オーク）17mm多層板<br>サイズ: 870×680×610mm<br>梱包: 910×770×770mm<br>正味重量: 40kg<br>総重量: 50kg<br>フレーム：17mm多層板<br>韓国製スプリング×4（赤30kg×2、緑20kg×2）<br>1mm厚マイクロファイバーレザー<br>高密度スポンジクッション<br>ステンレスハンドル×2（滑り止めラバー付き）<br>プラスチック製ハンドル付きナイロンロープ×2<br>ハンドルのゆるみ調整つまみ×2<br>上下ハンドルの移動調節用つまみ×2","220000","1","99","1","6","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand A】Ladder Barrel / ラダーバレル","","","背骨の柔軟性向上、ストレッチ、コアトレーニングに最適。アーチ形状が身体に自然にフィットし、安全で効果的なエクササイズを実現。スライドレール付きで調整可能。<br>材質: カエデ（ブナ・オーク）17mm多層板<br>サイズ: 1150×620×980mm<br>梱包: 1170×690×1110mm<br>正味重量: 45kg<br>総重量: 60kg<br>フレーム：17mm多層板<br>はしご：35mm<br>1mm厚マイクロファイバーレザー<br>高密度スポンジクッション<br>踏み板：二重ステッチレザー製<br>フットプレート×1<br>スライドレール×2","319000","1","99","1","7","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand A】Caformer / カフォーマー","","","リフォーマーとキャデラックの機能を融合した複合マシン。28mm無垢材フレーム、リフォーマー用6本＋キャデラック用10本のスプリングセット付属。限られたスペースで最大限のエクササイズバリエーションを実現。<br>材質: カエデ 28mm無垢材<br>サイズ: 2540×900×2080mm<br>梱包: 2360×860×760mm<br>正味重量: 135kg<br>梱包重量: 170kg<br>28mm無垢材フレーム<br>リフォーマー用韓国製スプリング×6本セット<br>キャデラック用韓国製スプリング×10本セット<br>1mm厚マイクロファイバーレザー<br>高密度スポンジクッション<br>アルミ合金レール×2<br>ボックス×1<br>ヘッドレスト×1、ショルダー×2<br>ステンレス製フットバー×1<br>ロープ×2、静音タイヤ×2<br>ソフトペダル、踏み板、滑車×10<br>ジャンピングボード<br>ステンレス製パイプ×2、アルミ合金縦パイプ×4<br>ブラッシュハンドル×2個<br>タワーバー（フック付き木製）×1<br>U型フレーム×1<br>リングハンドル×2、スイングバー×1<br>フットストラップ×1、セーフティロープ×1","836000","1","99","1","8","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X01-A [Entry] / リフォーマー","","","サイズ: 2280×720×1850mm<br>本体重量: 90kg<br>梱包重量: 120kg<br>キャリッジ幅: 340mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","447975","1","99","1","9","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X01-B [Standard] / リフォーマー","","","サイズ: 2280×720×1850mm<br>本体重量: 100kg<br>梱包重量: 130kg<br>キャリッジ幅: 340mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","520740","1","99","1","10","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X01-C [Pro] / リフォーマー","","","サイズ: 2280×720×1850mm<br>本体重量: 90kg<br>梱包重量: 120kg<br>キャリッジ幅: 312mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","426690","1","99","1","11","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X02-A [Standard] / ハーフタワー","","","サイズ: 2280×720×1850mm<br>本体重量: 110kg<br>梱包重量: 140kg<br>キャリッジ幅: 340mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","571230","1","99","1","12","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X02-B [Standard] / ハーフタワー","","","サイズ: 2280×690×1850mm<br>本体重量: 110kg<br>梱包重量: 140kg<br>キャリッジ幅: 340mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","519750","1","99","1","13","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X02-C [Premium] / ハーフタワー","","","サイズ: 2280×720×1850mm<br>本体重量: 120kg<br>梱包重量: 150kg<br>キャリッジ幅: 340mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","668250","1","99","1","14","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X03-A [Steel] / キャデラック","","","サイズ: 2320×760×1990mm<br>本体重量: 90kg<br>梱包重量: 120kg<br>キャリッジ幅: 550mm","413820","1","99","1","15","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X03-B [Maple] / キャデラック","","","サイズ: 2190×800×2120mm<br>本体重量: 100kg<br>素材: メープル材<br>キャリッジ幅: 635mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","440550","1","99","1","16","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X03-C [Premium] / キャデラック","","","サイズ: 2190×800×2120mm<br>本体重量: 120kg<br>素材: メープル材<br>キャリッジ幅: 635mm<br>EVA: +26400円(税込)<br>塗装: +33000円(税込)","561825","1","99","1","17","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X04-A [Entry] / チェア","","","サイズ: 840×680×615mm<br>本体重量: 45kg<br>梱包重量: 65kg<br>素材: メープル材<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","200475","1","99","1","18","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X04-B [Standard] / チェア","","","サイズ: 840×600×600mm<br>本体重量: 45kg<br>梱包重量: 65kg<br>素材: 天然木<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","200475","1","99","1","19","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X04-C [Pro] / チェア","","","サイズ: 750×600×1300mm<br>本体重量: 45kg<br>梱包重量: 65kg<br>素材: スチール","226710","1","99","1","20","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X05-A [Entry] / ラダーバレル","","","サイズ: 1100×620×980mm<br>本体重量: 90kg<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","215325","1","99","1","21","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X05-B [Standard] / ラダーバレル","","","サイズ: 1100×620×980mm<br>本体重量: 90kg<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","225225","1","99","1","22","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X05-C [Pro] / ラダーバレル","","","サイズ: 1100×620×980mm<br>本体重量: 90kg","210375","1","99","1","23","","","","","","","","","","","","","","","","","","","","","",""
"","【Brand X】X05-D [Basic] / ラダーバレル","","","サイズ: 1100×620×980mm<br>本体重量: 90kg<br>EVA: +13200円(税込)<br>塗装: +19800円(税込)","196020","1","99","1","24","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Pilates Circle","","","サイズ: 38cm","2640","1","99","1","25","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Pilates Ball","","","サイズ: 25cm","1898","1","99","1","26","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Foam Roller","","","サイズ: 33×13cm / 45×13cm","5363","1","99","1","27","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Elastic Band","","","サイズ: 1500×150×0.35mm","990","1","99","1","28","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Yoga Block","","","サイズ: 23×15×7.5cm","4125","1","99","1","29","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Balance Disc","","","サイズ: 直径34cm","3135","1","99","1","30","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Spinal Corrector (Wood)","","","ピラティス用アクセサリー","57750","1","99","1","31","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】EPP Spinal Corrector","","","サイズ: 96×36×26cm","18975","1","99","1","32","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Spine Trainer","","","ピラティス用アクセサリー","60390","1","99","1","33","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Massage Stick","","","ピラティス用アクセサリー","17325","1","99","1","34","","","","","","","","","","","","","","","","","","","","","",""
"","【Accessories】Balance Pad","","","サイズ: 28×17×6cm","4950","1","99","1","35","","","","","","","","","","","","","","","","","","","","","",""
